trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
201403,-0.027861308,-0.006037538,0.0288306735,-0.084190045,0.002466,-0.007709792,0.0278939461,-0.082192355,0.0033158643,0.0193622808,-0.001176971,0.0156778292
201404,-0.014566472,0.0059745256,0.0043722638,-0.01809917,0.002466,0.0187450792,0.0042774458,0.0010064726,0.0115558007,-0.006116108,-0.000942183,0.0015887203
201405,0.0126224909,0.0232163417,-0.001089381,0.0144257366,0.002466,0.0239623379,-0.008686385,0.0209416388,-0.029108677,0.0111827857,-0.029213489,0.0076665561
201406,0.0257819153,0.0342595316,-0.004473378,0.0215426879,0.002466,0.0393963258,-0.008586014,0.0277984862,-0.021556588,0.0172834599,-0.033968329,0.019834402
201407,0.0746898484,0.0024294888,0.0515147603,-0.064244241,0.002466,-0.005200698,0.0566804868,-0.065213631,-0.009881372,0.0233825233,0.0027187986,0.0130231262
201408,0.0279641947,0.0457272563,-0.021406201,0.0266915648,0.002466,0.036184516,-0.021342749,0.0161963448,-0.045505202,0.0103509454,-0.038451666,0.0108879448
201409,0.0895998615,0.0871828734,0.0003802247,0.029064447,0.002466,0.0644639405,0.0156846792,0.0107328876,-0.088654575,0.0458310106,-0.043750125,0.0378856819
201410,0.0125907789,-0.000025441,0.0167860645,-0.008368554,0.002466,-0.003406908,0.0201122825,-0.018175059,-0.005588261,0.0132864665,0.0092028619,0.0053557153
201411,0.0568127524,0.0042754733,0.0414621544,-0.024456337,0.002263,0.0091523834,0.0403303645,-0.012161839,-0.003871819,0.0109109934,-0.003338537,0.0150510543
201412,0.0929752078,-0.159300857,0.1563882512,-0.078481245,0.002263,-0.092666509,0.1170324053,-0.077433764,0.1671043075,0.00663182,0.0888144566,-0.007241859
201501,0.0399735485,0.0231055823,-0.071206437,-0.102817075,0.002263,0.0171680319,-0.068201778,-0.056084904,-0.027103542,-0.038114013,-0.014995734,-0.022025887
201502,0.0515382127,0.0263727894,-0.043141727,-0.02620475,0.002263,0.0143935339,-0.036658366,-0.013534354,-0.035915237,-0.016912834,-0.017081374,-0.007340885
201503,0.1718667706,0.0824772032,-0.027977171,0.0173018436,0.00206,0.0426153185,-0.017480202,-0.003352015,-0.079287018,0.0025574165,-0.038660587,-0.004161428
201504,0.1992670056,0.0080690665,0.0632763852,0.0987545844,0.00206,0.0256086152,0.0340844797,-0.009885189,-0.033376745,0.0926269821,-0.033586251,0.0367315893
201505,0.1128513556,0.1663702868,-0.178073583,-0.048005627,0.001856,0.1200642327,-0.134019159,-0.061735188,-0.147793086,0.0095610076,-0.115434383,0.0353551035
201506,-0.090955813,-0.02938727,0.1067844871,-0.123950308,0.001652,-0.019135899,0.0879368029,-0.149365606,0.0320797667,0.015083488,0.0309941326,0.0107961529
201507,-0.161367446,-0.055806516,-0.0121012,-0.057404248,0.001652,-0.028962477,-0.023139379,-0.034445878,0.0723147252,-0.009541964,0.0536051918,-0.032432588
201508,-0.142969874,0.0071763386,0.0222408131,-0.046945061,0.001447,0.0192491901,0.0254847145,-0.07890736,-0.021401734,0.0340005173,-0.011072617,0.0477515039
201509,-0.064062478,0.0342274599,-0.047234167,-0.059169095,0.001447,0.02919389,-0.054686492,-0.064758178,0.0321475095,-0.038710957,0.0002120882,-0.031940744
201510,0.1613098328,0.083130308,-0.059201341,-0.038325461,0.001241,0.047469182,-0.054098706,-0.053005468,-0.094597367,-0.032062502,-0.064902074,0.0019826005
201511,0.0279223685,0.1142132937,-0.028477701,-0.021551145,0.001241,0.0877313128,-0.03111482,-0.034571362,-0.043334003,-0.030549836,-0.053288438,-0.002373634
